"species","birdID","date","longitude","latitude","dayOfYear","delta","h","The_turbidity_factor","C_t","I_h","D_h","G_h"
"Black-bellied plover","20","27-07-2017",-163.0664,60.1105,208,22.6371519342102,1.34503254950715,0.786346630305241,1.00760819122636,923.810239970963,46.7931044946219,970.603344465585
"Black-bellied plover","20","29-07-2017",-163.1091,60.1046,210,-3.20583158187053,1.09221781672023,0.797367092359007,1.02696601402531,858.263577520963,45.3353201231425,903.598897644106
"Black-bellied plover","20","29-07-2017",-163.1164,60.1157,210,-3.20583158187053,1.08111781672023,0.797367092359007,1.02696601402531,852.537022708355,45.204320434111,897.741343142466
"Black-bellied plover","20","31-07-2017",-140.0084,53.8174,212,-20.1332261723442,0.123198812984049,0.804585597514859,0.969948165911799,45.5161612482179,16.9093258718624,62.4254871200803
"Black-bellied plover","20","31-07-2017",-139.7756,53.834,212,-20.1332261723442,0.139798812984053,0.804585597514859,0.969948165911799,58.4796759342509,17.7506617843666,76.2303377186175
"Black-bellied plover","20","31-07-2017",-138.1314,54.2092,212,-20.1332261723442,0.514998812984053,0.804585597514859,0.969948165911799,403.549777258684,33.4593313367518,437.009108595436
"Black-bellied plover","20","31-07-2017",-137.1689,54.0593,212,-20.1332261723442,0.36509881298405,0.804585597514859,0.969948165911799,264.654988804045,28.0126699884839,292.667658792529
"Black-bellied plover","20","03-08-2017",-124.6286,48.3758,215,21.9898495603387,0.317587115851921,0.786622665432691,1.02750693925974,227.54157997982,25.4703086534792,253.011888633299
"Black-bellied plover","20","05-08-2017",-124.5694,48.3689,217,-16.0862938763393,-0.0525444777485255,0.802859826812938,1.00672465685761,-689.646149080379,7.83819107645136,-681.807958003928
"Black-bellied plover","20","07-08-2017",-124.0202,46.8527,219,-9.42559450785783,1.30042307003644,0.800019443286933,0.966896171383945,890.412292454441,47.3489411858639,937.761233640305
"Black-bellied plover","20","07-08-2017",-124.0411,46.849,219,-9.42559450785783,1.29672307003644,0.800019443286933,0.966896171383945,889.369096285362,47.3253969415582,936.69449322692
"Black-bellied plover","20","09-08-2017",-123.9934,46.2276,221,23.4481868224937,-0.782531724417122,0.786000773210024,1.02082745025473,-929.938655301749,4837.04191491348,3907.10325961173
"Black-bellied plover","20","09-08-2017",-124.0079,46.2218,221,23.4481868224937,-0.788331724417122,0.786000773210024,1.02082745025473,-934.350877047991,4543.67135707701,3609.32048002901
"Black-bellied plover","20","11-08-2017",-119.8417,36.1215,223,-8.88869230182055,0.542901175231455,0.799790487122312,1.01576927354235,446.09707018972,34.148950244945,480.246020434665
"Black-bellied plover","20","11-08-2017",-119.8059,36.115,223,-8.88869230182055,0.54940117523145,0.799790487122312,1.01576927354235,452.101761411023,34.3509316787561,486.452693089779
"Black-bellied plover","20","15-08-2017",-119.8517,36.1315,227,21.7804815732469,-0.21385148559907,0.786711948156398,1.01248885850283,-426.384626730279,1.43520104451902,-424.94942568576
"Black-bellied plover","20","20-08-2017",-119.6485,35.9949,232,-3.78253408987085,-0.507525919998436,0.797613020933847,0.973218337984068,-673.887528212718,262455412519201,262455412518527
"Black-bellied plover","20","22-08-2017",-116.0064,30.4464,234,22.782362014657,0.189943648631472,0.786284707029997,1.03019141417258,105.013362038897,19.7730504512856,124.786412490183
"Black-bellied plover","20","22-08-2017",-116.014,30.4429,234,22.782362014657,0.193443648631471,0.786284707029997,1.03019141417258,108.248399059189,19.9387691993017,128.187168258491
"Black-bellied plover","20","08-09-2017",-116.0057,30.4216,251,-6.42566192600781,0.718946409725188,0.798740154339449,0.976660202533943,576.512073860109,38.9244023759574,615.436476236067
"Black-bellied plover","20","16-09-2017",-116.0044,30.4183,259,22.757958366744,0.19364000071853,0.786295113702881,1.02785638799093,108.18596005995,19.9483151667481,128.134275226698
"Black-bellied plover","20","07-11-2017",-121.6172,38.5418,311,16.9493468790892,-1.17210087257711,0.788772133527041,1.0146931258693,-1161.03564517538,792.946696839897,-368.088948335484
"Black-bellied plover","20","24-11-2017",-121.7057,38.6477,328,5.71548042335826,0.0545032860510877,0.793562694915412,1.02543463616156,5.57292263530161,13.175093816046,18.7480164513476
"Black-bellied plover","20","28-11-2017",-121.675,38.6554,332,-20.324928317038,-0.860864225626862,0.804667346830293,0.966299240060323,-956.845245281013,2500.50881995793,1543.66357467692
"Black-bellied plover","20","30-11-2017",-122.0591,39.5232,334,-2.82994451239327,-0.0583563110689353,0.797206799365626,1.01811718998118,-601.178031705427,7.49979279478482,-593.678238910642
"Black-bellied plover","20","05-12-2017",-122.0491,39.5081,339,-23.3405905719406,1.55395882665015,0.80595334352748,0.977550001622749,945.56098764716,48.5484667296226,994.109454376782
"Black-bellied plover","7","21-07-2017",-150.7094,70.4507,202,23.3254291192969,-1.5694152499387,0.786053121910748,1.01656438095024,-1243.97949655737,583.234580607081,-660.744915950291
"Black-bellied plover","7","21-07-2017",-150.6738,70.4558,202,23.3254291192969,-1.56431524993868,0.786053121910748,1.01656438095024,-1243.95779889913,583.273392850624,-660.68440604851
"Black-bellied plover","7","28-07-2017",-150.708,70.3679,209,17.5998909721796,-0.931730243588774,0.788494716003335,1.03199524125306,-1049.81429568457,1626.81981614865,577.00552046408
"Black-bellied plover","7","30-07-2017",-150.6973,70.445,211,-21.1393186062169,-1.09266467468201,0.805014634800092,0.997144357862833,-1127.87865336652,953.561691948086,-174.316961418436
"Black-bellied plover","7","01-08-2017",-150.6707,70.446,213,-1.08895360861304,-0.849118902842689,0.796464372540986,0.970381491630324,-943.084566152662,2691.1344782329,1748.04991208024
"Black-bellied plover","7","01-08-2017",-150.8615,70.4515,213,-1.08895360861304,-0.854618902842687,0.796464372540986,0.970381491630324,-946.847332984142,2585.94396125433,1639.09662827019
"Black-bellied plover","7","17-08-2017",-113.3131,53.8696,229,-0.506076712503627,-0.602194725317756,0.79621581096482,1.02355771893725,-793.8621183721,556090.60388231,555296.741763938
"Black-bellied plover","7","17-08-2017",-111.3698,52.2727,229,-0.506076712503627,-0.942497928272039,0.79621581096482,1.02355771893725,-1058.42697833067,1561.5875682685,503.160589937835
"Black-bellied plover","7","18-08-2017",-111.1332,52.2504,230,-19.8280007792357,-1.39256607346531,0.80445543743251,0.99209879367823,-1225.34314520395,630.0927467116,-595.250398492353
"Black-bellied plover","7","22-08-2017",-111.3377,51.6508,234,22.782362014657,-0.976692223760028,0.786284707029997,1.03019141417258,-1073.42175619936,1333.69550581096,260.273749611592
"Black-bellied plover","7","27-08-2017",-111.2287,51.6399,239,10.3433913977488,-1.11499222121096,0.791589172111834,0.993570606115585,-1115.77404005503,890.586275241334,-225.187764813692
"Black-bellied plover","7","29-08-2017",-111.633,51.1368,241,15.3350202998746,-0.326535816157216,0.789460545714339,1.03303389191021,-536.303832518256,0.0440962416215284,-536.259736276634
"Black-bellied plover","7","29-08-2017",-111.4851,51.0121,241,15.3350202998746,-0.45123581615722,0.789460545714339,1.03303389191021,-655.007083624631,1.16404565280576e-27,-655.007083624631
"Black-bellied plover","7","29-08-2017",-111.3221,50.1304,241,15.3350202998746,-1.33293581615721,0.789460545714339,1.03303389191021,-1238.52327067742,646.397436208895,-592.125834468525
"Black-bellied plover","7","31-08-2017",-109.8852,26.9931,243,-22.3208616443909,0.619275513749112,0.80551849110635,0.978935494649866,500.140787399521,36.6642918646093,536.805079264131
"Black-bellied plover","7","31-08-2017",-109.7931,26.983,243,-22.3208616443909,0.609175513749115,0.80551849110635,0.978935494649866,491.438557494914,36.3787187564593,527.817276251374
"Black-bellied plover","7","02-09-2017",-109.7749,26.9654,245,2.09876530961003,1.30468978846652,0.795105004132363,0.984497962619566,902.252447307607,47.0846539718191,949.337101279426
"Black-bellied plover","7","02-09-2017",-109.419,26.5344,245,2.09876530961003,0.873689788466526,0.795105004132363,0.984497962619566,692.464061473427,41.9743944361224,734.43845590955
"Black-bellied plover","7","12-09-2017",-109.2833,25.7705,255,-11.750229433541,1.39241391725836,0.801010758820273,0.996545066469933,940.997683351237,47.8877330933404,988.885416444578
"Black-bellied plover","7","14-09-2017",-109.2927,25.7629,257,-14.093439029287,-0.586430859414586,0.802009995321658,0.970681677333743,-744.869296062091,1694363.65313054,1693618.78383448
"Black-bellied plover","7","18-09-2017",-109.2781,25.7719,261,-3.68174247563913,-0.391487733463904,0.797570039435241,1.00613362718615,-588.472057085871,5.43679133404059e-05,-588.472002717957
"Black-bellied plover","7","08-11-2017",-109.2775,25.7999,312,-4.1561035222938,0.110873313190769,0.797772325595861,0.982138180290471,36.6014093250935,16.1415494156314,52.7429587407249
"Black-bellied plover","7","17-11-2017",-109.2617,25.7409,321,-8.53678849193567,-1.29096562924284,0.799640421531742,1.00435178192745,-1207.9861391092,681.757774782761,-526.228364326442
"Black-bellied plover","7","20-11-2017",-109.2877,25.6952,324,12.3806646664047,0.822631607558782,0.79072039886294,1.0004503845877,663.780669416977,40.7768229485483,704.557492365525
"Black-bellied plover","7","04-12-2017",-109.3225,25.6903,338,-14.7713025057521,-1.19169433587966,0.80229906290224,0.966383889386573,-1132.51068438442,780.330435559022,-352.180248825401
"Black-bellied plover","7","06-12-2017",-109.2881,25.7582,340,-10.9980896645233,0.62797414824065,0.800690016914509,1.0093565388335,520.226126781695,36.6855109478019,556.911637729497
